x,y,z
8.02573739825919,not detected,not detected
8.02573739825919,26.58034158553686,640.9805245646415
8.02573739825919,not detected,not detected
8.198813938152359,not detected,not detected
8.198813938152359,26.404436326416977,650.455181746252
8.441161735979279,27.100248386813114,687.272739154903
8.441161735979279,not detected,not detected
8.401181033676325,27.10419843981352,684.1218335966823
9.814435989469684,28.160208649268036,830.129695715055
9.814435989469684,27.416093318937047,808.2204788801054
9.06076379809339,26.172290657698856,712.4228311133669
9.06076379809339,25.1836515072548,685.549353642203
9.262096069383464,25.506788134053465,709.7389663570401
9.153307911043557,25.40696043194909,698.6731957519908
8.866520623816077,25.424383913078135,-
8.476277552909531,25.72098044206964,655.0545074798198
8.476277552909531,not detected,not detected
8.476277552909531,25.04423937382501,637.845772102138
8.126866878957147,not detected,not detected
8.126866878957147,27.258258178566813,665.5727067083722
9.276478019641678,25.738107990235694,717.2769791157558
9.831044464975873,28.145475408712137,831.098260692802
8.470394207184457,26.33298495100922,670.1522895607119
8.205201834974124,not detected,not detected
8.205201834974124,not detected,not detected
8.205201834974124,not detected,not detected
8.205201834974124,not detected,not detected
8.205201834974124,not detected,not detected
8.205201834974124,not detected,not detected
8.205201834974124,not detected,not detected
8.205201834974124,not detected,not detected
8.205201834974124,26.149685971078362,644.6903539416679
8.550686348891267,26.138021293275642,-
8.550686348891267,26.698581894492758,685.8735992199843
8.550686348891267,not detected,not detected
8.550686348891267,not detected,not detected
8.550686348891267,26.061453489128386,669.5299437452643
8.69758226851182,not detected,not detected
8.102235454054767,25.57153623832887,622.5598225745034
8.102235454054767,not detected,not detected
8.102235454054767,26.80116254401807,652.4479881220836
8.102235454054767,25.66795894476227,624.9035409864252
8.033415217777208,not detected,not detected
8.740751069423217,not detected,not detected
8.740751069423217,not detected,not detected
8.281629714533702,not detected,not detected
8.82980485716001,27.284188766319392,723.7421874775526
8.82980485716001,27.70789024311242,734.9657915508715
8.517750334838952,not detected,not detected
8.517750334838952,25.816075062479857,660.684646022996
8.517750334838952,25.98246249794852,664.9363859255246
8.517750334838952,not detected,not detected
8.517750334838952,26.657608922340515,682.1885719728153
8.107713070009535,25.486881920053712,-
8.107713070009535,not detected,not detected
8.242243415954814,25.1203810882656,622.1448868930988
8.242243415954814,not detected,not detected
9.125484312195901,25.637858872217,702.8736368101262
9.125484312195901,26.74488059020803,733.1799647724881
8.852811071522016,26.662784474217798,709.1217807728818
9.343900128140747,27.618794580552425,775.2017746609504
9.136936776865392,25.485020291876946,699.5650574920337
9.136936776865392,27.7079949723968,760.4985948294811
9.252864090677463,not detected,not detected
9.252864090677463,27.386182799145054,761.2018822088143
9.582179947697256,27.20662200145844,783.0962433608622
8.216257624227241,25.945344177814416,640.5208957425026
8.845841842102443,26.289584720383502,698.6605255931963
8.845841842102443,not detected,not detected
8.845841842102443,25.396117765505295,674.9501234712038
10.833459566301755,29.675061082444504,-
11.105241610672877,30.56627000064283,1019.3374404826025
